자치구,대여소명,기준년월,대여건수,반납건수
마포구,108. 서교동 사거리,202507,1277,1314
양천구,729. 서부식자재마트 건너편,202507,1658,1808
양천구,731. 서울시 도로환경관리센터,202507,3135,3218
양천구,733. 신정이펜하우스314동,202507,876,375
양천구,734. 신트리공원 입구,202507,2987,2958
양천구,735. 영도초등학교,202507,2687,3038
양천구,736. 오솔길공원,202507,1069,1179
양천구,737. 장수공원,202507,717,571
양천구,739. 신월사거리,202507,950,960
양천구,740. 으뜸공원,202507,1076,1322
양천구,741. 화곡로 입구 교차로,202507,464,451
양천구,742. 등촌역 5번 출구 뒤,202507,906,914
양천구,743. 현대6차아파트 101동 옆,202507,973,1170
양천구,744. 신목동역 2번 출구,202507,3712,3676
양천구,745. 강서초등학교,202507,513,603
양천구,746. 목동2단지 상가,202507,3636,3611
양천구,747. 목동3단지 상가,202507,2885,2868
양천구,748. 목동운동장,202507,757,787
광진구,505. 자양사거리 광진아크로텔 앞,202507,2043,1929
은평구,937. 상림마을 롯데캐슬2단지 옆,202507,94,131
은평구,938. 금암 문화공원,202507,195,201
은평구,939. 은평구청 교차로,202507,545,546
은평구,941. 은평뉴타운 도서관,202507,575,269
은평구,942. 상림마을 생태공원,202507,376,341
은평구,943. 은평구청 보건소,202507,1607,1988
성동구,506. 금호 어울림 아파트 앞,202507,774,837
은평구,945. 기자촌 사거리 A,202507,121,67
은평구,946. 독바위역 ,202507,587,587
은평구,947. 연신내 선일하이츠빌 정류소,202507,227,226
은평구,948. 디지털미디어 시티역 4번출구(DMC역),202507,752,792
은평구,949. 연신내역 1번 출구 ,202507,1196,1377
은평구,950. 구산역 2번 출구 예일여고 버스정류장,202507,837,1135
은평구,952. 서울연신중학교,202507,594,489
은평구,953. 서울연신초등학교,202507,254,223
강동구,1023. 한국종합기술사옥 앞,202507,2453,2564
강동구,1024.  강동구청 앞,202507,3490,3540
강동구,1025. 상일초등학교,202507,599,579
강동구,1027. 프라자 아파트 앞,202507,1067,1056
강동구,1028. 포레스 주상복합 빌딩,202507,2118,2075
강동구,1029. 성내어울터,202507,3287,3250
강동구,1030. 미호 플랜트 앞,202507,1530,1533
강동구,1031. 올림픽로 836(아리수로),202507,664,769
강동구,1032. 선사고등학교,202507,585,663
성동구,508. 성수아카데미타워 앞,202507,5142,4758
강동구,1033. 고덕동 아남아파트,202507,1567,1266
강동구,1034. 고덕동 래미안 힐스테이트,202507,657,586
강동구,1036. 고덕동 주양쇼핑,202507,965,948
강동구,1037. 강일리버파크 6단지,202507,258,303
강동구,1038. 강일 다솜 어린이 공원,202507,329,390
강동구,1039. 고덕초등학교,202507,275,264
강동구,1041. 묘곡초등학교,202507,722,704
강동구,1042. 강일리버파크 2~5단지,202507,498,665
강동구,1044. 굽은다리역,202507,3913,4180
강서구,1150. 송정역 1번출구,202507,2890,2923
강서구,1151. 마곡역1번출구,202507,5049,5183
강서구,1152. 마곡역교차로,202507,4883,5123
강서구,"1153. 발산역 1번, 9번 인근 대여소",202507,8180,8121
강서구,1155. 기쁜우리복지관,202507,2660,2633
강서구,1157. 강서구청,202507,4020,4221
성동구,510. 뚝도아리수정수센터 버스정류소 옆,202507,742,718
송파구,1251. 석촌역 2번출구,202507,2840,2843
송파구,1253. 오금역 3번 출구 뒤,202507,652,638
송파구,1256. 문정현대아파트 교차로,202507,790,736
송파구,1257. 가락시장역 사거리,202507,1391,1412
송파구,1258. 가락미륭아파트 앞,202507,470,362
송파구,1259. 방이역 1번출구,202507,1672,1679
송파구,1260. 방이동 한양3차아파트 옆,202507,1495,1487
성동구,511. 서울숲역 5번 출구 옆,202507,1001,1008
송파구,1262. 송파여성문화회관 앞,202507,2634,2632
송파구,1263. 장지공영차고지,202507,359,393
송파구,1264. 천호역 10번 출구 앞,202507,3500,3491
송파구,1265. 문정동 근린공원,202507,1441,1491
송파구,1266. 문정동 글샘 공원,202507,683,666
송파구,1267. 올림픽공원 남2문 앞,202507,1143,1075
송파구,1268. 몽촌토성역 1번출구 옆,202507,869,835
송파구,1269. 리센츠아파트 ,202507,1922,1668
송파구,1271. 송파도서관,202507,1149,1148
